id,song_name,artist,genre,album,year,popularity,cover_image,spotify_url,mood,language,region,region_group,youtube_url,source,lyrics,history,song_key,artist_key,feature_text
435,"To Chalun (From ""Border"")",Roop Kumar Rathod,bollywood,Musical Voice of Roop Kumar Rathod,2016.0,59.0,https://i.scdn.co/image/ab67616d0000b2737d9f57d00c428b771deb8639,https://open.spotify.com/track/5z36JzylwsiLGZ3JrtUEE6,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,to chalun from border,roop kumar rathod,"song To Chalun (From ""Border"") artist Roop Kumar Rathod genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
436,Kyon,"Pritam, Papon, Sunidhi Chauhan",bollywood,Barfi! (Original Motion Picture Soundtrack),2012.0,59.0,https://i.scdn.co/image/ab67616d0000b273352f44aed6f226c6ea28b961,https://open.spotify.com/track/1sYC1fG7s4p0pTykrJqmgW,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,kyon,pritam papon sunidhi chauhan,"song Kyon artist Pritam, Papon, Sunidhi Chauhan genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
437,"Main Dhoondne Ko Zamaane Mein (From ""Heartless"")",Arijit Singh,bollywood,Arijit Singh Broken Strings,2019.0,59.0,https://i.scdn.co/image/ab67616d0000b273c486f7fc6299f158d632e613,https://open.spotify.com/track/43YkTTlOD203o9E5ZxhUjF,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,main dhoondne ko zamaane mein from heartless,arijit singh,"song Main Dhoondne Ko Zamaane Mein (From ""Heartless"") artist Arijit Singh genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
438,Khairiyat (Bonus Track),"Pritam, Arijit Singh",bollywood,Chhichhore,2019.0,59.0,https://i.scdn.co/image/ab67616d0000b273eaa6b4bfb5954ee5a5a8ce9e,https://open.spotify.com/track/3oM90C4SZLYzVZJEZD5EQk,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,khairiyat bonus track,pritam arijit singh,"song Khairiyat (Bonus Track) artist Pritam, Arijit Singh genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
439,Aa Re Pritam Pyaare,"Sajid-Wajid, Mamta Sharma, Sarosh Sami",bollywood,Rowdy Rathore (Original Motion Picture Soundtrack),2012.0,59.0,https://i.scdn.co/image/ab67616d0000b2734056bfa0599a8cad7a9a88b4,https://open.spotify.com/track/3CXHPRFNic9WOsazT4huOJ,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,aa re pritam pyaare,sajidwajid mamta sharma sarosh sami,"song Aa Re Pritam Pyaare artist Sajid-Wajid, Mamta Sharma, Sarosh Sami genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
440,Party On My Mind,"Pritam, KK, Shefali Alvares, Yo Yo Honey Singh, Prashant Ingole",bollywood,Race 2 (Original Motion Picture Soundtrack),2012.0,60.0,https://i.scdn.co/image/ab67616d0000b2730df18810131fd56a87a5fc7a,https://open.spotify.com/track/5Rn1DPzSzUktbhuNDDJocS,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,party on my mind,pritam kk shefali alvares yo yo honey singh prashant ingole,"song Party On My Mind artist Pritam, KK, Shefali Alvares, Yo Yo Honey Singh, Prashant Ingole genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
441,Uska Hi Banana,Arijit Singh,bollywood,1920 Evil Returns,2012.0,59.0,https://i.scdn.co/image/ab67616d0000b273872577a9e646019e97782fda,https://open.spotify.com/track/5TJOAIWHRYW8pRBpnvLUo1,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,uska hi banana,arijit singh,song Uska Hi Banana artist Arijit Singh genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history 
442,"Lo Maan Liya (From ""Raaz Reboot"")",Arijit Singh,bollywood,2016 Shining Star - Arijit Singh,2016.0,59.0,https://i.scdn.co/image/ab67616d0000b27395067fdf365803513c949fe5,https://open.spotify.com/track/0VgwIvS4QrT75GqKpIyoUz,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,lo maan liya from raaz reboot,arijit singh,"song Lo Maan Liya (From ""Raaz Reboot"") artist Arijit Singh genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
443,Ole Ole,Abhijeet,bollywood,Yeh Dillagi (Original Motion Picture Soundtrack),1994.0,59.0,https://i.scdn.co/image/ab67616d0000b27396a950e102101ee8451c16ce,https://open.spotify.com/track/4cHkNpAIlCFbNQKGHfMVaw,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,ole ole,abhijeet,song Ole Ole artist Abhijeet genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history 
444,"Roke Na Ruke Naina (From ""Badrinath Ki Dulhania"")",Arijit Singh,bollywood,Ultimate Love Songs - Arijit Singh,2020.0,59.0,https://i.scdn.co/image/ab67616d0000b2731aa5adad8593923dcdf1a7d0,https://open.spotify.com/track/0ZyJDDqBjI0rDnn31qHgbg,,Hindi,North India / Hindi Belt,North India / Hindi Belt,,spotify_india,,,roke na ruke naina from badrinath ki dulhania,arijit singh,"song Roke Na Ruke Naina (From ""Badrinath Ki Dulhania"") artist Arijit Singh genre bollywood language Hindi region North India / Hindi Belt region_group North India / Hindi Belt lyrics  history "
